dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp,summedCases,daysPass
28/04/2020,28,4,2020,1308,632,Spain,ES,ESP,46723749,Europe,210773,120
27/04/2020,27,4,2020,1831,0,Spain,ES,ESP,46723749,Europe,209465,119
26/04/2020,26,4,2020,1729,288,Spain,ES,ESP,46723749,Europe,207634,118
25/04/2020,25,4,2020,2944,378,Spain,ES,ESP,46723749,Europe,205905,117
24/04/2020,24,4,2020,2767,367,Spain,ES,ESP,46723749,Europe,202961,116
23/04/2020,23,4,2020,3052,440,Spain,ES,ESP,46723749,Europe,200194,115
22/04/2020,22,4,2020,2627,435,Spain,ES,ESP,46723749,Europe,197142,114
21/04/2020,21,4,2020,3352,430,Spain,ES,ESP,46723749,Europe,194515,113
20/04/2020,20,4,2020,2585,399,Spain,ES,ESP,46723749,Europe,191163,112
19/04/2020,19,4,2020,1430,410,Spain,ES,ESP,46723749,Europe,188578,111
18/04/2020,18,4,2020,4104,565,Spain,ES,ESP,46723749,Europe,190008,110
17/04/2020,17,4,2020,4400,585,Spain,ES,ESP,46723749,Europe,185904,109
16/04/2020,16,4,2020,4040,617,Spain,ES,ESP,46723749,Europe,181504,108
15/04/2020,15,4,2020,7968,787,Spain,ES,ESP,46723749,Europe,177464,107
14/04/2020,14,4,2020,3477,517,Spain,ES,ESP,46723749,Europe,169496,106
13/04/2020,13,4,2020,4167,619,Spain,ES,ESP,46723749,Europe,166019,105
12/04/2020,12,4,2020,4830,510,Spain,ES,ESP,46723749,Europe,161852,104
11/04/2020,11,4,2020,4576,605,Spain,ES,ESP,46723749,Europe,157022,103
10/04/2020,10,4,2020,5756,683,Spain,ES,ESP,46723749,Europe,152446,102
09/04/2020,9,4,2020,6180,757,Spain,ES,ESP,46723749,Europe,146690,101
08/04/2020,8,4,2020,5478,743,Spain,ES,ESP,46723749,Europe,140510,100
07/04/2020,7,4,2020,4273,637,Spain,ES,ESP,46723749,Europe,135032,99
06/04/2020,6,4,2020,6023,674,Spain,ES,ESP,46723749,Europe,130759,98
05/04/2020,5,4,2020,7026,809,Spain,ES,ESP,46723749,Europe,124736,97
04/04/2020,4,4,2020,7472,932,Spain,ES,ESP,46723749,Europe,117710,96
03/04/2020,3,4,2020,8102,950,Spain,ES,ESP,46723749,Europe,110238,95
02/04/2020,2,4,2020,7719,864,Spain,ES,ESP,46723749,Europe,102136,94
01/04/2020,1,4,2020,9222,849,Spain,ES,ESP,46723749,Europe,94417,93
31/03/2020,31,3,2020,6398,812,Spain,ES,ESP,46723749,Europe,85195,92
30/03/2020,30,3,2020,6549,838,Spain,ES,ESP,46723749,Europe,78797,91
29/03/2020,29,3,2020,8189,832,Spain,ES,ESP,46723749,Europe,72248,90
28/03/2020,28,3,2020,7871,769,Spain,ES,ESP,46723749,Europe,64059,89
27/03/2020,27,3,2020,8578,655,Spain,ES,ESP,46723749,Europe,56188,88
26/03/2020,26,3,2020,7937,738,Spain,ES,ESP,46723749,Europe,47610,87
25/03/2020,25,3,2020,6584,514,Spain,ES,ESP,46723749,Europe,39673,86
24/03/2020,24,3,2020,4517,462,Spain,ES,ESP,46723749,Europe,33089,85
23/03/2020,23,3,2020,3646,394,Spain,ES,ESP,46723749,Europe,28572,84
22/03/2020,22,3,2020,4946,324,Spain,ES,ESP,46723749,Europe,24926,83
21/03/2020,21,3,2020,2833,235,Spain,ES,ESP,46723749,Europe,19980,82
20/03/2020,20,3,2020,3431,169,Spain,ES,ESP,46723749,Europe,17147,81
19/03/2020,19,3,2020,2538,107,Spain,ES,ESP,46723749,Europe,13716,80
18/03/2020,18,3,2020,1987,182,Spain,ES,ESP,46723749,Europe,11178,79
17/03/2020,17,3,2020,1438,21,Spain,ES,ESP,46723749,Europe,9191,78
16/03/2020,16,3,2020,2000,152,Spain,ES,ESP,46723749,Europe,7753,77
15/03/2020,15,3,2020,1522,15,Spain,ES,ESP,46723749,Europe,5753,76
14/03/2020,14,3,2020,1227,37,Spain,ES,ESP,46723749,Europe,4231,75
13/03/2020,13,3,2020,864,37,Spain,ES,ESP,46723749,Europe,3004,74
12/03/2020,12,3,2020,501,12,Spain,ES,ESP,46723749,Europe,2140,73
11/03/2020,11,3,2020,435,7,Spain,ES,ESP,46723749,Europe,1639,72
10/03/2020,10,3,2020,615,23,Spain,ES,ESP,46723749,Europe,1204,71
09/03/2020,9,3,2020,159,0,Spain,ES,ESP,46723749,Europe,589,70
08/03/2020,8,3,2020,56,0,Spain,ES,ESP,46723749,Europe,430,69
07/03/2020,7,3,2020,113,2,Spain,ES,ESP,46723749,Europe,374,68
06/03/2020,6,3,2020,61,2,Spain,ES,ESP,46723749,Europe,261,67
05/03/2020,5,3,2020,49,1,Spain,ES,ESP,46723749,Europe,200,66
04/03/2020,4,3,2020,37,0,Spain,ES,ESP,46723749,Europe,151,65
03/03/2020,3,3,2020,31,0,Spain,ES,ESP,46723749,Europe,114,64
02/03/2020,2,3,2020,17,0,Spain,ES,ESP,46723749,Europe,83,63
01/03/2020,1,3,2020,32,0,Spain,ES,ESP,46723749,Europe,66,62
29/02/2020,29,2,2020,9,0,Spain,ES,ESP,46723749,Europe,34,61
28/02/2020,28,2,2020,13,0,Spain,ES,ESP,46723749,Europe,25,60
27/02/2020,27,2,2020,5,0,Spain,ES,ESP,46723749,Europe,12,59
26/02/2020,26,2,2020,4,0,Spain,ES,ESP,46723749,Europe,7,58
25/02/2020,25,2,2020,1,0,Spain,ES,ESP,46723749,Europe,3,57
24/02/2020,24,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,56
23/02/2020,23,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,55
22/02/2020,22,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,54
21/02/2020,21,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,53
20/02/2020,20,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,52
19/02/2020,19,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,51
18/02/2020,18,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,50
17/02/2020,17,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,49
16/02/2020,16,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,48
15/02/2020,15,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,47
14/02/2020,14,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,46
13/02/2020,13,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,45
12/02/2020,12,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,44
11/02/2020,11,2,2020,0,0,Spain,ES,ESP,46723749,Europe,2,43
10/02/2020,10,2,2020,1,0,Spain,ES,ESP,46723749,Europe,2,42
09/02/2020,9,2,2020,0,0,Spain,ES,ESP,46723749,Europe,1,41
08/02/2020,8,2,2020,0,0,Spain,ES,ESP,46723749,Europe,1,40
07/02/2020,7,2,2020,0,0,Spain,ES,ESP,46723749,Europe,1,39
06/02/2020,6,2,2020,0,0,Spain,ES,ESP,46723749,Europe,1,38
05/02/2020,5,2,2020,0,0,Spain,ES,ESP,46723749,Europe,1,37
04/02/2020,4,2,2020,0,0,Spain,ES,ESP,46723749,Europe,1,36
03/02/2020,3,2,2020,0,0,Spain,ES,ESP,46723749,Europe,1,35
02/02/2020,2,2,2020,0,0,Spain,ES,ESP,46723749,Europe,1,34
01/02/2020,1,2,2020,1,0,Spain,ES,ESP,46723749,Europe,1,33
31/01/2020,31,1,2020,0,0,Spain,ES,ESP,46723749,Europe,0,32
30/01/2020,30,1,2020,0,0,Spain,ES,ESP,46723749,Europe,0,31
29/01/2020,29,1,2020,0,0,Spain,ES,ESP,46723749,Europe,0,30
28/01/2020,28,1,2020,0,0,Spain,ES,ESP,46723749,Europe,0,29
27/01/2020,27,1,2020,0,0,Spain,ES,ESP,46723749,Europe,0,28
26/01/2020,26,1,2020,0,0,Spain,ES,ESP,46723749,Europe,0,27
25/01/2020,25,1,2020,0,0,Spain,ES,ESP,46723749,Europe,0,26
24/01/2020,24,1,2020,0,0,Spain,ES,ESP,46723749,Europe,0,25
23/01/2020,23,1,2020,0,0,Spain,ES,ESP,46723749,Europe,0,24
22/01/2020,22,1,2020,0,0,Spain,ES,ESP,46723749,Europe,0,23
21/01/2020,21,1,2020,0,0,Spain,ES,ESP,46723749,Europe,0,22
20/01/2020,20,1,2020,0,0,Spain,ES,ESP,46723749,Europe,0,21
