dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp,summedCases,daysPass
29/04/2020,29,4,2020,2091,382,Italy,IT,ITA,60431283,Europe,201505,121
28/04/2020,28,4,2020,1739,333,Italy,IT,ITA,60431283,Europe,199414,120
27/04/2020,27,4,2020,2324,260,Italy,IT,ITA,60431283,Europe,197675,119
26/04/2020,26,4,2020,2357,415,Italy,IT,ITA,60431283,Europe,195351,118
25/04/2020,25,4,2020,3021,420,Italy,IT,ITA,60431283,Europe,192994,117
24/04/2020,24,4,2020,2646,464,Italy,IT,ITA,60431283,Europe,189973,116
23/04/2020,23,4,2020,3370,437,Italy,IT,ITA,60431283,Europe,187327,115
22/04/2020,22,4,2020,2729,534,Italy,IT,ITA,60431283,Europe,183957,114
21/04/2020,21,4,2020,2256,454,Italy,IT,ITA,60431283,Europe,181228,113
20/04/2020,20,4,2020,3047,433,Italy,IT,ITA,60431283,Europe,178972,112
19/04/2020,19,4,2020,3491,480,Italy,IT,ITA,60431283,Europe,175925,111
18/04/2020,18,4,2020,3493,575,Italy,IT,ITA,60431283,Europe,172434,110
17/04/2020,17,4,2020,3786,525,Italy,IT,ITA,60431283,Europe,168941,109
16/04/2020,16,4,2020,2667,578,Italy,IT,ITA,60431283,Europe,165155,108
15/04/2020,15,4,2020,2972,604,Italy,IT,ITA,60431283,Europe,162488,107
14/04/2020,14,4,2020,3153,564,Italy,IT,ITA,60431283,Europe,159516,106
13/04/2020,13,4,2020,4092,431,Italy,IT,ITA,60431283,Europe,156363,105
12/04/2020,12,4,2020,4694,619,Italy,IT,ITA,60431283,Europe,152271,104
11/04/2020,11,4,2020,3951,570,Italy,IT,ITA,60431283,Europe,147577,103
10/04/2020,10,4,2020,4204,612,Italy,IT,ITA,60431283,Europe,143626,102
09/04/2020,9,4,2020,3836,540,Italy,IT,ITA,60431283,Europe,139422,101
08/04/2020,8,4,2020,3039,604,Italy,IT,ITA,60431283,Europe,135586,100
07/04/2020,7,4,2020,3599,636,Italy,IT,ITA,60431283,Europe,132547,99
06/04/2020,6,4,2020,4316,527,Italy,IT,ITA,60431283,Europe,128948,98
05/04/2020,5,4,2020,4805,681,Italy,IT,ITA,60431283,Europe,124632,97
04/04/2020,4,4,2020,4585,764,Italy,IT,ITA,60431283,Europe,119827,96
03/04/2020,3,4,2020,4668,760,Italy,IT,ITA,60431283,Europe,115242,95
02/04/2020,2,4,2020,4782,727,Italy,IT,ITA,60431283,Europe,110574,94
01/04/2020,1,4,2020,4053,839,Italy,IT,ITA,60431283,Europe,105792,93
31/03/2020,31,3,2020,4050,810,Italy,IT,ITA,60431283,Europe,101739,92
30/03/2020,30,3,2020,5217,758,Italy,IT,ITA,60431283,Europe,97689,91
29/03/2020,29,3,2020,5974,887,Italy,IT,ITA,60431283,Europe,92472,90
