dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp,summedCases,daysPass
29/04/2020,29,4,2020,295,20,Portugal,PT,PRT,10281762,Europe,24322,58
28/04/2020,28,4,2020,163,25,Portugal,PT,PRT,10281762,Europe,24027,57
27/04/2020,27,4,2020,472,23,Portugal,PT,PRT,10281762,Europe,23864,56
26/04/2020,26,4,2020,595,26,Portugal,PT,PRT,10281762,Europe,23392,55
25/04/2020,25,4,2020,444,34,Portugal,PT,PRT,10281762,Europe,22797,54
24/04/2020,24,4,2020,371,35,Portugal,PT,PRT,10281762,Europe,22353,53
23/04/2020,23,4,2020,603,23,Portugal,PT,PRT,10281762,Europe,21982,52
22/04/2020,22,4,2020,516,27,Portugal,PT,PRT,10281762,Europe,21379,51
21/04/2020,21,4,2020,657,21,Portugal,PT,PRT,10281762,Europe,20863,50
20/04/2020,20,4,2020,521,27,Portugal,PT,PRT,10281762,Europe,20206,49
19/04/2020,19,4,2020,663,30,Portugal,PT,PRT,10281762,Europe,19685,48
18/04/2020,18,4,2020,181,28,Portugal,PT,PRT,10281762,Europe,19022,47
17/04/2020,17,4,2020,750,30,Portugal,PT,PRT,10281762,Europe,18841,46
16/04/2020,16,4,2020,643,32,Portugal,PT,PRT,10281762,Europe,18091,45
15/04/2020,15,4,2020,514,32,Portugal,PT,PRT,10281762,Europe,17448,44
14/04/2020,14,4,2020,349,31,Portugal,PT,PRT,10281762,Europe,16934,43
13/04/2020,13,4,2020,598,34,Portugal,PT,PRT,10281762,Europe,16585,42
12/04/2020,12,4,2020,515,35,Portugal,PT,PRT,10281762,Europe,15987,41
11/04/2020,11,4,2020,1516,26,Portugal,PT,PRT,10281762,Europe,15472,40
10/04/2020,10,4,2020,815,29,Portugal,PT,PRT,10281762,Europe,13956,39
09/04/2020,9,4,2020,699,35,Portugal,PT,PRT,10281762,Europe,13141,38
08/04/2020,8,4,2020,712,34,Portugal,PT,PRT,10281762,Europe,12442,37
07/04/2020,7,4,2020,452,16,Portugal,PT,PRT,10281762,Europe,11730,36
06/04/2020,6,4,2020,754,29,Portugal,PT,PRT,10281762,Europe,11278,35
05/04/2020,5,4,2020,638,20,Portugal,PT,PRT,10281762,Europe,10524,34
04/04/2020,4,4,2020,852,37,Portugal,PT,PRT,10281762,Europe,9886,33
03/04/2020,3,4,2020,783,22,Portugal,PT,PRT,10281762,Europe,9034,32
02/04/2020,2,4,2020,808,27,Portugal,PT,PRT,10281762,Europe,8251,31
01/04/2020,1,4,2020,1035,20,Portugal,PT,PRT,10281762,Europe,7443,30
31/03/2020,31,3,2020,446,21,Portugal,PT,PRT,10281762,Europe,6408,29
30/03/2020,30,3,2020,792,19,Portugal,PT,PRT,10281762,Europe,5962,28
29/03/2020,29,3,2020,902,24,Portugal,PT,PRT,10281762,Europe,5170,27
28/03/2020,28,3,2020,724,16,Portugal,PT,PRT,10281762,Europe,4268,26
27/03/2020,27,3,2020,549,17,Portugal,PT,PRT,10281762,Europe,3544,25
26/03/2020,26,3,2020,633,10,Portugal,PT,PRT,10281762,Europe,2995,24
25/03/2020,25,3,2020,302,10,Portugal,PT,PRT,10281762,Europe,2362,23
24/03/2020,24,3,2020,460,9,Portugal,PT,PRT,10281762,Europe,2060,22
23/03/2020,23,3,2020,320,2,Portugal,PT,PRT,10281762,Europe,1600,21
22/03/2020,22,3,2020,260,6,Portugal,PT,PRT,10281762,Europe,1280,20
21/03/2020,21,3,2020,235,3,Portugal,PT,PRT,10281762,Europe,1020,19
20/03/2020,20,3,2020,143,1,Portugal,PT,PRT,10281762,Europe,785,18
19/03/2020,19,3,2020,194,1,Portugal,PT,PRT,10281762,Europe,642,17
18/03/2020,18,3,2020,117,1,Portugal,PT,PRT,10281762,Europe,448,16
17/03/2020,17,3,2020,86,0,Portugal,PT,PRT,10281762,Europe,331,15
16/03/2020,16,3,2020,76,0,Portugal,PT,PRT,10281762,Europe,245,14
15/03/2020,15,3,2020,57,0,Portugal,PT,PRT,10281762,Europe,169,13
14/03/2020,14,3,2020,34,0,Portugal,PT,PRT,10281762,Europe,112,12
13/03/2020,13,3,2020,19,0,Portugal,PT,PRT,10281762,Europe,78,11
12/03/2020,12,3,2020,18,0,Portugal,PT,PRT,10281762,Europe,59,10
11/03/2020,11,3,2020,2,0,Portugal,PT,PRT,10281762,Europe,41,9
10/03/2020,10,3,2020,9,0,Portugal,PT,PRT,10281762,Europe,39,8
09/03/2020,9,3,2020,9,0,Portugal,PT,PRT,10281762,Europe,30,7
08/03/2020,8,3,2020,8,0,Portugal,PT,PRT,10281762,Europe,21,6
07/03/2020,7,3,2020,4,0,Portugal,PT,PRT,10281762,Europe,13,5
06/03/2020,6,3,2020,4,0,Portugal,PT,PRT,10281762,Europe,9,4
05/03/2020,5,3,2020,1,0,Portugal,PT,PRT,10281762,Europe,5,3
04/03/2020,4,3,2020,2,0,Portugal,PT,PRT,10281762,Europe,4,2
03/03/2020,3,3,2020,2,0,Portugal,PT,PRT,10281762,Europe,2,1
