dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp,summedCases,daysPass
29/04/2020,29,4,2020,3996,586,United_Kingdom,UK,GBR,66488991,Europe,161145,121
28/04/2020,28,4,2020,4309,360,United_Kingdom,UK,GBR,66488991,Europe,157149,120
27/04/2020,27,4,2020,4463,413,United_Kingdom,UK,GBR,66488991,Europe,152840,119
26/04/2020,26,4,2020,4913,813,United_Kingdom,UK,GBR,66488991,Europe,148377,118
25/04/2020,25,4,2020,5386,768,United_Kingdom,UK,GBR,66488991,Europe,143464,117
24/04/2020,24,4,2020,4583,638,United_Kingdom,UK,GBR,66488991,Europe,138078,116
23/04/2020,23,4,2020,4451,763,United_Kingdom,UK,GBR,66488991,Europe,133495,115
22/04/2020,22,4,2020,4301,828,United_Kingdom,UK,GBR,66488991,Europe,129044,114
21/04/2020,21,4,2020,4676,449,United_Kingdom,UK,GBR,66488991,Europe,124743,113
20/04/2020,20,4,2020,5850,596,United_Kingdom,UK,GBR,66488991,Europe,120067,112
19/04/2020,19,4,2020,5525,888,United_Kingdom,UK,GBR,66488991,Europe,114217,111
18/04/2020,18,4,2020,5599,847,United_Kingdom,UK,GBR,66488991,Europe,108692,110
17/04/2020,17,4,2020,4617,861,United_Kingdom,UK,GBR,66488991,Europe,103093,109
16/04/2020,16,4,2020,4603,761,United_Kingdom,UK,GBR,66488991,Europe,98476,108
15/04/2020,15,4,2020,5252,778,United_Kingdom,UK,GBR,66488991,Europe,93873,107
14/04/2020,14,4,2020,4342,717,United_Kingdom,UK,GBR,66488991,Europe,88621,106
13/04/2020,13,4,2020,5288,737,United_Kingdom,UK,GBR,66488991,Europe,84279,105
12/04/2020,12,4,2020,8719,917,United_Kingdom,UK,GBR,66488991,Europe,78991,104
11/04/2020,11,4,2020,5195,980,United_Kingdom,UK,GBR,66488991,Europe,70272,103
10/04/2020,10,4,2020,4344,881,United_Kingdom,UK,GBR,66488991,Europe,65077,102
09/04/2020,9,4,2020,5491,938,United_Kingdom,UK,GBR,66488991,Europe,60733,101
08/04/2020,8,4,2020,3634,786,United_Kingdom,UK,GBR,66488991,Europe,55242,100
07/04/2020,7,4,2020,3802,439,United_Kingdom,UK,GBR,66488991,Europe,51608,99
06/04/2020,6,4,2020,5903,621,United_Kingdom,UK,GBR,66488991,Europe,47806,98
05/04/2020,5,4,2020,3735,708,United_Kingdom,UK,GBR,66488991,Europe,41903,97
04/04/2020,4,4,2020,4450,684,United_Kingdom,UK,GBR,66488991,Europe,38168,96
03/04/2020,3,4,2020,4244,389,United_Kingdom,UK,GBR,66488991,Europe,33718,95
02/04/2020,2,4,2020,4324,743,United_Kingdom,UK,GBR,66488991,Europe,29474,94
01/04/2020,1,4,2020,3009,381,United_Kingdom,UK,GBR,66488991,Europe,25150,93
31/03/2020,31,3,2020,2619,180,United_Kingdom,UK,GBR,66488991,Europe,22141,92
30/03/2020,30,3,2020,2433,209,United_Kingdom,UK,GBR,66488991,Europe,19522,91
29/03/2020,29,3,2020,2546,260,United_Kingdom,UK,GBR,66488991,Europe,17089,90
28/03/2020,28,3,2020,2885,181,United_Kingdom,UK,GBR,66488991,Europe,14543,89
27/03/2020,27,3,2020,2129,115,United_Kingdom,UK,GBR,66488991,Europe,11658,88
26/03/2020,26,3,2020,1452,41,United_Kingdom,UK,GBR,66488991,Europe,9529,87
25/03/2020,25,3,2020,1427,87,United_Kingdom,UK,GBR,66488991,Europe,8077,86
24/03/2020,24,3,2020,967,54,United_Kingdom,UK,GBR,66488991,Europe,6650,85
23/03/2020,23,3,2020,665,48,United_Kingdom,UK,GBR,66488991,Europe,5683,84
22/03/2020,22,3,2020,1035,56,United_Kingdom,UK,GBR,66488991,Europe,5018,83
21/03/2020,21,3,2020,706,33,United_Kingdom,UK,GBR,66488991,Europe,3983,82
20/03/2020,20,3,2020,647,41,United_Kingdom,UK,GBR,66488991,Europe,3277,81
19/03/2020,19,3,2020,680,43,United_Kingdom,UK,GBR,66488991,Europe,2630,80
18/03/2020,18,3,2020,407,5,United_Kingdom,UK,GBR,66488991,Europe,1950,79
17/03/2020,17,3,2020,152,20,United_Kingdom,UK,GBR,66488991,Europe,1543,78
16/03/2020,16,3,2020,251,14,United_Kingdom,UK,GBR,66488991,Europe,1391,77
15/03/2020,15,3,2020,433,11,United_Kingdom,UK,GBR,66488991,Europe,1140,76
14/03/2020,14,3,2020,117,0,United_Kingdom,UK,GBR,66488991,Europe,707,75
13/03/2020,13,3,2020,134,4,United_Kingdom,UK,GBR,66488991,Europe,590,74
12/03/2020,12,3,2020,83,0,United_Kingdom,UK,GBR,66488991,Europe,456,73
11/03/2020,11,3,2020,52,1,United_Kingdom,UK,GBR,66488991,Europe,373,72
10/03/2020,10,3,2020,48,2,United_Kingdom,UK,GBR,66488991,Europe,321,71
09/03/2020,9,3,2020,67,1,United_Kingdom,UK,GBR,66488991,Europe,273,70
08/03/2020,8,3,2020,43,1,United_Kingdom,UK,GBR,66488991,Europe,206,69
07/03/2020,7,3,2020,48,0,United_Kingdom,UK,GBR,66488991,Europe,163,68
06/03/2020,6,3,2020,30,1,United_Kingdom,UK,GBR,66488991,Europe,115,67
05/03/2020,5,3,2020,34,0,United_Kingdom,UK,GBR,66488991,Europe,85,66
04/03/2020,4,3,2020,11,0,United_Kingdom,UK,GBR,66488991,Europe,51,65
03/03/2020,3,3,2020,4,0,United_Kingdom,UK,GBR,66488991,Europe,40,64
02/03/2020,2,3,2020,13,0,United_Kingdom,UK,GBR,66488991,Europe,36,63
01/03/2020,1,3,2020,5,0,United_Kingdom,UK,GBR,66488991,Europe,23,62
29/02/2020,29,2,2020,2,0,United_Kingdom,UK,GBR,66488991,Europe,18,61
28/02/2020,28,2,2020,3,0,United_Kingdom,UK,GBR,66488991,Europe,16,60
27/02/2020,27,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,13,59
26/02/2020,26,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,13,58
25/02/2020,25,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,13,57
24/02/2020,24,2,2020,4,0,United_Kingdom,UK,GBR,66488991,Europe,13,56
23/02/2020,23,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,9,55
22/02/2020,22,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,9,54
21/02/2020,21,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,9,53
20/02/2020,20,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,9,52
19/02/2020,19,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,9,51
18/02/2020,18,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,9,50
17/02/2020,17,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,9,49
16/02/2020,16,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,9,48
15/02/2020,15,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,9,47
14/02/2020,14,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,9,46
13/02/2020,13,2,2020,1,0,United_Kingdom,UK,GBR,66488991,Europe,9,45
12/02/2020,12,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,8,44
11/02/2020,11,2,2020,4,0,United_Kingdom,UK,GBR,66488991,Europe,8,43
10/02/2020,10,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,4,42
09/02/2020,9,2,2020,1,0,United_Kingdom,UK,GBR,66488991,Europe,4,41
08/02/2020,8,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,3,40
07/02/2020,7,2,2020,1,0,United_Kingdom,UK,GBR,66488991,Europe,3,39
06/02/2020,6,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,2,38
05/02/2020,5,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,2,37
04/02/2020,4,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,2,36
03/02/2020,3,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,2,35
02/02/2020,2,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,2,34
01/02/2020,1,2,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,2,33
31/01/2020,31,1,2020,2,0,United_Kingdom,UK,GBR,66488991,Europe,2,32
30/01/2020,30,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,31
29/01/2020,29,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,30
28/01/2020,28,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,29
27/01/2020,27,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,28
26/01/2020,26,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,27
25/01/2020,25,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,26
24/01/2020,24,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,25
23/01/2020,23,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,24
22/01/2020,22,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,23
21/01/2020,21,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,22
20/01/2020,20,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,21
19/01/2020,19,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,20
18/01/2020,18,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,19
17/01/2020,17,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,18
16/01/2020,16,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,17
15/01/2020,15,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,16
14/01/2020,14,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,15
13/01/2020,13,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,14
12/01/2020,12,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,13
11/01/2020,11,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,12
10/01/2020,10,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,11
09/01/2020,9,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,10
08/01/2020,8,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,9
07/01/2020,7,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,8
06/01/2020,6,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,7
05/01/2020,5,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,6
04/01/2020,4,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,5
03/01/2020,3,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,4
02/01/2020,2,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,3
01/01/2020,1,1,2020,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,2
31/12/2019,31,12,2019,0,0,United_Kingdom,UK,GBR,66488991,Europe,0,1
