dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp,summedCases,daysPass
29/04/2020,29,4,2020,24132,2110,United_States_of_America,US,USA,327167434,America,1012583,121
28/04/2020,28,4,2020,22541,1369,United_States_of_America,US,USA,327167434,America,988451,120
27/04/2020,27,4,2020,26857,1687,United_States_of_America,US,USA,327167434,America,965910,119
26/04/2020,26,4,2020,48529,2172,United_States_of_America,US,USA,327167434,America,939053,118
25/04/2020,25,4,2020,21352,1054,United_States_of_America,US,USA,327167434,America,890524,117
24/04/2020,24,4,2020,26543,3179,United_States_of_America,US,USA,327167434,America,869172,116
23/04/2020,23,4,2020,17588,1721,United_States_of_America,US,USA,327167434,America,842629,115
22/04/2020,22,4,2020,37289,2524,United_States_of_America,US,USA,327167434,America,825041,114
21/04/2020,21,4,2020,28065,1857,United_States_of_America,US,USA,327167434,America,787752,113
20/04/2020,20,4,2020,24601,1772,United_States_of_America,US,USA,327167434,America,759687,112
19/04/2020,19,4,2020,32922,1856,United_States_of_America,US,USA,327167434,America,735086,111
18/04/2020,18,4,2020,30833,3770,United_States_of_America,US,USA,327167434,America,702164,110
17/04/2020,17,4,2020,31667,2299,United_States_of_America,US,USA,327167434,America,671331,109
16/04/2020,16,4,2020,30148,4928,United_States_of_America,US,USA,327167434,America,639664,108
15/04/2020,15,4,2020,26922,2408,United_States_of_America,US,USA,327167434,America,609516,107
14/04/2020,14,4,2020,25023,1541,United_States_of_America,US,USA,327167434,America,582594,106
13/04/2020,13,4,2020,27620,1500,United_States_of_America,US,USA,327167434,America,557571,105
12/04/2020,12,4,2020,28391,1831,United_States_of_America,US,USA,327167434,America,529951,104
11/04/2020,11,4,2020,35527,2087,United_States_of_America,US,USA,327167434,America,501560,103
10/04/2020,10,4,2020,33901,1873,United_States_of_America,US,USA,327167434,America,466033,102
09/04/2020,9,4,2020,33323,1922,United_States_of_America,US,USA,327167434,America,432132,101
08/04/2020,8,4,2020,30613,1906,United_States_of_America,US,USA,327167434,America,398809,100
07/04/2020,7,4,2020,30561,1342,United_States_of_America,US,USA,327167434,America,368196,99
06/04/2020,6,4,2020,25398,1146,United_States_of_America,US,USA,327167434,America,337635,98
05/04/2020,5,4,2020,34272,1344,United_States_of_America,US,USA,327167434,America,312237,97
04/04/2020,4,4,2020,32425,1104,United_States_of_America,US,USA,327167434,America,277965,96
03/04/2020,3,4,2020,28819,915,United_States_of_America,US,USA,327167434,America,245540,95
02/04/2020,2,4,2020,27103,1059,United_States_of_America,US,USA,327167434,America,216721,94
01/04/2020,1,4,2020,24998,909,United_States_of_America,US,USA,327167434,America,189618,93
31/03/2020,31,3,2020,21595,661,United_States_of_America,US,USA,327167434,America,164620,92
30/03/2020,30,3,2020,18360,318,United_States_of_America,US,USA,327167434,America,143025,91
29/03/2020,29,3,2020,19979,484,United_States_of_America,US,USA,327167434,America,124665,90
